,Unnamed: 0,num_infected,cities_infected,num_interactions,run,probability_of_flying_day,transmission_rate,initial_infected,passengers_per_flight,effective_contacts,probability_of_flying,reproduction_number
36,36,0.0,0,0,run-20150321-203,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-204,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-205,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-206,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-207,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-208,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-209,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-21,0.0005,0.043333333333333335,"[[366], [1000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-210,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-211,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-212,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-213,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-214,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-215,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-216,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-217,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-218,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-219,0.0005,0.04,"[[366], [2000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-22,0.0005,0.043333333333333335,"[[366], [1000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-220,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-221,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-222,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-223,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-224,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-225,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-226,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-227,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-228,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-229,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-23,0.0005,0.043333333333333335,"[[366], [1000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-230,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
